indicator,date,value,iso_code,country_name
Food Inflation,2015-01-31,3.7,BMU,Bermuda
Food Inflation,2015-02-28,3.6,BMU,Bermuda
Food Inflation,2015-03-31,2.7,BMU,Bermuda
Food Inflation,2015-04-30,2.9,BMU,Bermuda
Food Inflation,2015-05-31,3.5,BMU,Bermuda
Food Inflation,2015-06-30,3.4,BMU,Bermuda
Food Inflation,2015-07-31,2.8,BMU,Bermuda
Food Inflation,2015-08-31,2.3,BMU,Bermuda
Food Inflation,2015-09-30,2.1,BMU,Bermuda
Food Inflation,2015-10-31,2.1,BMU,Bermuda
Food Inflation,2015-11-30,1.6,BMU,Bermuda
Food Inflation,2015-12-31,2.2,BMU,Bermuda
Food Inflation,2016-01-31,2.0,BMU,Bermuda
Food Inflation,2016-02-28,2.4,BMU,Bermuda
Food Inflation,2016-03-31,2.0,BMU,Bermuda
Food Inflation,2016-04-30,2.3,BMU,Bermuda
Food Inflation,2016-05-31,1.6,BMU,Bermuda
Food Inflation,2016-06-30,1.7,BMU,Bermuda
Food Inflation,2016-07-31,1.9,BMU,Bermuda
Food Inflation,2016-08-31,1.7,BMU,Bermuda
Food Inflation,2016-09-30,1.9,BMU,Bermuda
Food Inflation,2016-10-31,1.8,BMU,Bermuda
Food Inflation,2016-11-30,2.2,BMU,Bermuda
Food Inflation,2016-12-31,1.1,BMU,Bermuda
Food Inflation,2017-01-31,1.9,BMU,Bermuda
Food Inflation,2017-02-28,1.3,BMU,Bermuda
Food Inflation,2017-03-31,1.8,BMU,Bermuda
Food Inflation,2017-04-30,0.4,BMU,Bermuda
Food Inflation,2017-05-31,2.4,BMU,Bermuda
Food Inflation,2017-06-30,2.7,BMU,Bermuda
Food Inflation,2017-07-31,2.6,BMU,Bermuda
Food Inflation,2017-08-31,2.7,BMU,Bermuda
Food Inflation,2017-09-30,2.5,BMU,Bermuda
Food Inflation,2017-10-31,2.5,BMU,Bermuda
Food Inflation,2017-11-30,2.8,BMU,Bermuda
Food Inflation,2017-12-31,3.3,BMU,Bermuda
Food Inflation,2018-01-31,2.5,BMU,Bermuda
Food Inflation,2018-02-28,1.8,BMU,Bermuda
Food Inflation,2018-03-31,1.6,BMU,Bermuda
Food Inflation,2018-04-30,3.0,BMU,Bermuda
Food Inflation,2018-05-31,2.3,BMU,Bermuda
Food Inflation,2018-06-30,1.9,BMU,Bermuda
Food Inflation,2018-07-31,1.8,BMU,Bermuda
Food Inflation,2018-08-31,1.4,BMU,Bermuda
Food Inflation,2018-09-30,1.8,BMU,Bermuda
Food Inflation,2018-10-31,2.1,BMU,Bermuda
Food Inflation,2018-11-30,1.8,BMU,Bermuda
Food Inflation,2018-12-31,2.9,BMU,Bermuda
Food Inflation,2019-01-31,2.7,BMU,Bermuda
Food Inflation,2019-02-28,3.3,BMU,Bermuda
Food Inflation,2019-03-31,2.9,BMU,Bermuda
Food Inflation,2019-04-30,2.4,BMU,Bermuda
Food Inflation,2019-05-31,1.7,BMU,Bermuda
Food Inflation,2019-06-30,2.5,BMU,Bermuda
Food Inflation,2019-07-31,2.9,BMU,Bermuda
Food Inflation,2019-08-31,3.0,BMU,Bermuda
Food Inflation,2019-09-30,2.9,BMU,Bermuda
Food Inflation,2019-10-31,2.3,BMU,Bermuda
Food Inflation,2019-11-30,3.0,BMU,Bermuda
Food Inflation,2019-12-31,2.6,BMU,Bermuda
Food Inflation,2020-01-31,2.4,BMU,Bermuda
Food Inflation,2020-02-29,2.5,BMU,Bermuda
Food Inflation,2020-03-31,2.3,BMU,Bermuda
Food Inflation,2020-04-30,3.4,BMU,Bermuda
Food Inflation,2020-05-31,3.8,BMU,Bermuda
Food Inflation,2020-06-30,3.0,BMU,Bermuda
Food Inflation,2020-07-31,2.6,BMU,Bermuda
Food Inflation,2020-08-31,3.3,BMU,Bermuda
Food Inflation,2020-09-30,3.4,BMU,Bermuda
Food Inflation,2020-10-31,3.6,BMU,Bermuda
Food Inflation,2020-11-30,2.9,BMU,Bermuda
Food Inflation,2020-12-31,2.7,BMU,Bermuda
Food Inflation,2021-01-31,1.7,BMU,Bermuda
Food Inflation,2021-02-28,2.0,BMU,Bermuda
Food Inflation,2021-03-31,2.6,BMU,Bermuda
Food Inflation,2021-04-30,1.7,BMU,Bermuda
Food Inflation,2021-05-31,0.9,BMU,Bermuda
Food Inflation,2021-06-30,1.2,BMU,Bermuda
Food Inflation,2021-07-31,1.3,BMU,Bermuda
Food Inflation,2021-08-31,1.3,BMU,Bermuda
Food Inflation,2021-09-30,1.4,BMU,Bermuda
Food Inflation,2021-10-31,1.5,BMU,Bermuda
Food Inflation,2021-11-30,3.4,BMU,Bermuda
Food Inflation,2021-12-31,3.8,BMU,Bermuda
Food Inflation,2022-01-31,4.7,BMU,Bermuda
Food Inflation,2022-02-28,5.0,BMU,Bermuda
Inflation Rate,2014-01-31,1.8,BMU,Bermuda
Inflation Rate,2014-02-28,1.7,BMU,Bermuda
Inflation Rate,2014-03-31,2.0,BMU,Bermuda
Inflation Rate,2014-04-30,1.9,BMU,Bermuda
Inflation Rate,2014-05-31,2.1,BMU,Bermuda
Inflation Rate,2014-06-30,1.8,BMU,Bermuda
Inflation Rate,2014-07-31,1.9,BMU,Bermuda
Inflation Rate,2014-08-31,2.1,BMU,Bermuda
Inflation Rate,2014-09-30,2.4,BMU,Bermuda
Inflation Rate,2014-10-31,2.6,BMU,Bermuda
Inflation Rate,2014-11-30,2.3,BMU,Bermuda
Inflation Rate,2014-12-31,1.5,BMU,Bermuda
Inflation Rate,2015-01-31,1.4,BMU,Bermuda
Inflation Rate,2015-02-28,1.6,BMU,Bermuda
Inflation Rate,2015-03-31,1.2,BMU,Bermuda
Inflation Rate,2015-04-30,1.8,BMU,Bermuda
Inflation Rate,2015-05-31,1.2,BMU,Bermuda
Inflation Rate,2015-06-30,2.1,BMU,Bermuda
Inflation Rate,2015-07-31,1.9,BMU,Bermuda
Inflation Rate,2015-08-31,1.4,BMU,Bermuda
Inflation Rate,2015-09-30,1.0,BMU,Bermuda
Inflation Rate,2015-10-31,0.6,BMU,Bermuda
Inflation Rate,2015-11-30,1.4,BMU,Bermuda
Inflation Rate,2015-12-31,1.8,BMU,Bermuda
Inflation Rate,2016-01-31,1.7,BMU,Bermuda
Inflation Rate,2016-02-29,1.3,BMU,Bermuda
Inflation Rate,2016-03-31,1.0,BMU,Bermuda
Inflation Rate,2016-04-30,1.1,BMU,Bermuda
Inflation Rate,2016-05-31,1.1,BMU,Bermuda
Inflation Rate,2016-06-30,0.8,BMU,Bermuda
Inflation Rate,2016-07-31,1.6,BMU,Bermuda
Inflation Rate,2016-08-31,1.3,BMU,Bermuda
Inflation Rate,2016-09-30,2.0,BMU,Bermuda
Inflation Rate,2016-10-31,2.1,BMU,Bermuda
Inflation Rate,2016-11-30,1.7,BMU,Bermuda
Inflation Rate,2016-12-31,1.6,BMU,Bermuda
Inflation Rate,2017-01-31,1.9,BMU,Bermuda
Inflation Rate,2017-02-28,1.9,BMU,Bermuda
Inflation Rate,2017-03-31,2.4,BMU,Bermuda
Inflation Rate,2017-04-30,1.7,BMU,Bermuda
Inflation Rate,2017-05-31,2.4,BMU,Bermuda
Inflation Rate,2017-06-30,1.8,BMU,Bermuda
Inflation Rate,2017-07-31,1.7,BMU,Bermuda
Inflation Rate,2017-08-31,2.3,BMU,Bermuda
Inflation Rate,2017-09-30,1.5,BMU,Bermuda
Inflation Rate,2017-10-31,1.4,BMU,Bermuda
Inflation Rate,2017-11-30,2.0,BMU,Bermuda
Inflation Rate,2017-12-31,1.9,BMU,Bermuda
Inflation Rate,2018-01-31,1.6,BMU,Bermuda
Inflation Rate,2018-02-28,2.0,BMU,Bermuda
Inflation Rate,2018-03-31,1.8,BMU,Bermuda
Inflation Rate,2018-04-30,2.0,BMU,Bermuda
Inflation Rate,2018-05-31,1.7,BMU,Bermuda
Inflation Rate,2018-06-30,1.6,BMU,Bermuda
Inflation Rate,2018-07-31,1.4,BMU,Bermuda
Inflation Rate,2018-08-31,0.9,BMU,Bermuda
Inflation Rate,2018-09-30,1.1,BMU,Bermuda
Inflation Rate,2018-10-31,1.1,BMU,Bermuda
Inflation Rate,2018-11-30,0.8,BMU,Bermuda
Inflation Rate,2018-12-31,0.9,BMU,Bermuda
Inflation Rate,2019-01-31,1.3,BMU,Bermuda
Inflation Rate,2019-02-28,1.1,BMU,Bermuda
Inflation Rate,2019-03-31,1.2,BMU,Bermuda
Inflation Rate,2019-04-30,1.0,BMU,Bermuda
Inflation Rate,2019-05-31,0.3,BMU,Bermuda
Inflation Rate,2019-06-30,0.7,BMU,Bermuda
Inflation Rate,2019-07-31,1.2,BMU,Bermuda
Inflation Rate,2019-08-31,1.5,BMU,Bermuda
Inflation Rate,2019-09-30,0.8,BMU,Bermuda
Inflation Rate,2019-10-31,0.7,BMU,Bermuda
Inflation Rate,2019-11-30,0.9,BMU,Bermuda
Inflation Rate,2019-12-31,0.5,BMU,Bermuda
Inflation Rate,2020-01-31,1.0,BMU,Bermuda
Inflation Rate,2020-02-29,0.9,BMU,Bermuda
Inflation Rate,2020-03-31,0.3,BMU,Bermuda
Inflation Rate,2020-04-30,0.0,BMU,Bermuda
Inflation Rate,2020-05-31,0.4,BMU,Bermuda
Inflation Rate,2020-06-30,0.0,BMU,Bermuda
Inflation Rate,2020-07-31,-1.4,BMU,Bermuda
Inflation Rate,2020-08-31,-0.7,BMU,Bermuda
Inflation Rate,2020-09-30,-0.7,BMU,Bermuda
Inflation Rate,2020-10-31,-0.2,BMU,Bermuda
Inflation Rate,2020-11-30,-0.1,BMU,Bermuda
Inflation Rate,2020-12-31,0.3,BMU,Bermuda
Inflation Rate,2021-01-31,-0.3,BMU,Bermuda
Inflation Rate,2021-02-28,0.2,BMU,Bermuda
Inflation Rate,2021-03-31,0.8,BMU,Bermuda
Inflation Rate,2021-04-30,0.9,BMU,Bermuda
Inflation Rate,2021-05-31,1.4,BMU,Bermuda
Inflation Rate,2021-06-30,1.2,BMU,Bermuda
Inflation Rate,2021-07-31,2.2,BMU,Bermuda
Inflation Rate,2021-08-31,1.6,BMU,Bermuda
Inflation Rate,2021-09-30,2.2,BMU,Bermuda
Inflation Rate,2021-10-31,2.5,BMU,Bermuda
Inflation Rate,2021-11-30,2.8,BMU,Bermuda
Inflation Rate,2021-12-31,2.7,BMU,Bermuda
Inflation Rate,2022-01-31,2.5,BMU,Bermuda
Inflation Rate,2022-02-28,2.5,BMU,Bermuda
